Date,Soybean meal
1/7/2010,326.5
1/14/2010,311.4
1/21/2010,308
2/4/2010,292.2
2/11/2010,298.4
2/18/2010,296.1
2/25/2010,289.6
3/4/2010,270.9
3/11/2010,264.6
3/18/2010,280.9
3/25/2010,278.4
4/1/2010,276.4
4/8/2010,274.6
4/15/2010,294.9
4/22/2010,307.6
5/6/2010,287.4
5/13/2010,291.9
5/20/2010,286.2
5/27/2010,289
6/3/2010,301
6/10/2010,304.8
6/17/2010,304.8
6/24/2010,308.6
7/1/2010,312
7/8/2010,327.9
7/15/2010,333.6
7/22/2010,325.2
7/29/2010,329.9
8/5/2010,338.1
8/12/2010,328.9
8/19/2010,330
8/26/2010,333.3
9/2/2010,329.2
9/9/2010,327
9/16/2010,305.1
9/23/2010,309
9/30/2010,302.9
10/7/2010,293.7
10/14/2010,331.2
10/21/2010,332.9
10/28/2010,336.3
11/4/2010,348.2
11/11/2010,358.6
11/18/2010,335
12/2/2010,346.7
12/9/2010,341.7
12/16/2010,344.8
12/23/2010,361
12/30/2010,368.4
1/6/2011,365.1
1/13/2011,376.6
1/20/2011,374.8
1/27/2011,365.9
2/3/2011,370.9
2/10/2011,369
2/17/2011,359.7
2/24/2011,338.4
3/3/2011,359
3/10/2011,339.2
3/17/2011,347.1
3/24/2011,343.8
3/31/2011,354.7
4/7/2011,333.9
4/14/2011,324.5
4/21/2011,342.3
4/28/2011,333.2
5/5/2011,335.7
5/12/2011,341.3
5/19/2011,349.4
5/26/2011,350.3
6/2/2011,356
6/9/2011,362.4
6/16/2011,347.2
6/23/2011,334.1
6/30/2011,325.7
7/7/2011,339.8
7/14/2011,348.5
7/21/2011,354.2
7/28/2011,347.8
8/4/2011,340.6
8/11/2011,340.4
8/18/2011,345
8/25/2011,360
9/1/2011,368.6
9/8/2011,353.2
9/15/2011,335.6
9/22/2011,316.9
9/29/2011,317.5
10/6/2011,285.6
10/13/2011,309.7
10/20/2011,308.3
10/27/2011,311.5
11/3/2011,303.5
11/10/2011,288.9
11/17/2011,285.5
11/24/2011,273.5
12/1/2011,278.7
12/8/2011,273.3
12/15/2011,271.9
12/22/2011,289.4
12/29/2011,299.1
1/5/2012,306.2
1/12/2012,299.1
1/19/2012,309.2
1/26/2012,321.1
2/2/2012,322.9
2/9/2012,321
2/16/2012,330.3
2/23/2012,332.4
3/1/2012,354
3/8/2012,365.2
3/15/2012,369.4
3/22/2012,366.1
3/29/2012,369
4/5/2012,385.9
4/12/2012,385.6
4/19/2012,385.9
4/26/2012,415.3
5/3/2012,421.9
5/10/2012,421.6
5/17/2012,427
5/24/2012,411.8
5/31/2012,396
6/7/2012,427
6/14/2012,418.5
6/21/2012,430
6/28/2012,429.6
7/5/2012,476.8
7/12/2012,473.7
7/19/2012,551
7/26/2012,546.3
8/2/2012,554.7
8/9/2012,561.2
8/16/2012,560
8/23/2012,566.3
8/30/2012,579.1
9/6/2012,560.05
9/13/2012,555.9
9/20/2012,499.8
9/27/2012,490.1
10/4/2012,485.3
10/11/2012,491.2
10/18/2012,483.3
10/25/2012,501.4
11/1/2012,504.3
11/8/2012,482.4
11/15/2012,450.5
11/29/2012,462.7
12/6/2012,472.5
12/13/2012,474.8
12/27/2012,447.3
1/10/2013,422.6
1/17/2013,431
1/24/2013,431.7
1/31/2013,443.9
2/7/2013,454.1
2/14/2013,422.7
2/21/2013,450.3
2/28/2013,447.8
3/7/2013,448.1
3/14/2013,437
3/21/2013,435.9
4/4/2013,407.1
4/11/2013,411.5
4/18/2013,430.5
4/25/2013,438.3
5/9/2013,462.6
5/16/2013,461.9
5/23/2013,482
5/30/2013,482.3
6/6/2013,494.5
6/13/2013,492.1
6/20/2013,486.1
6/27/2013,518.6
7/11/2013,572
7/18/2013,566.9
7/25/2013,528.8
8/1/2013,462.4
8/8/2013,437.6
8/15/2013,450.8
8/22/2013,450.36
8/29/2013,532.4
9/5/2013,546
9/12/2013,550.2
9/19/2013,475.6
9/26/2013,448.9
10/24/2013,457
10/31/2013,434.6
11/7/2013,434.6
11/14/2013,458.1
11/21/2013,458.1
11/28/2013,484.4
12/12/2013,491.11
12/19/2013,503.1
12/26/2013,499.5
1/2/2014,473.8
1/9/2014,473.3
1/16/2014,490
1/23/2014,476.7
1/30/2014,483.2
2/6/2014,504
2/13/2014,509.8
2/20/2014,506.9
2/27/2014,516.5
3/6/2014,492.9
3/13/2014,479.4
3/20/2014,502.5
3/27/2014,506.5
4/3/2014,514.1
4/10/2014,512.5
4/17/2014,517.8
4/24/2014,508.2
5/1/2014,510.2
5/8/2014,512.7
5/15/2014,513.4
5/22/2014,532.5
5/29/2014,528.9
6/5/2014,521.1
6/12/2014,498.7
6/19/2014,481.2
6/26/2014,498.5
7/3/2014,481.5
7/10/2014,470.05
7/17/2014,430
7/24/2014,443.8
7/31/2014,438.8
8/7/2014,437.6
8/14/2014,450.4
8/21/2014,542.8
8/28/2014,593.2
9/4/2014,583.4
9/11/2014,579.3
9/18/2014,558.3
9/25/2014,385.4
10/2/2014,342.2
10/9/2014,364.5
10/16/2014,373.1
10/23/2014,401.4
10/30/2014,433
11/6/2014,455.2
11/13/2014,455
11/20/2014,424.3
11/27/2014,455.1
12/4/2014,433.2
12/11/2014,446
12/18/2014,423.3
12/25/2014,426.9
1/1/2015,418.1
1/8/2015,406.2
1/15/2015,358.2
1/22/2015,361.6
1/29/2015,369.4
2/5/2015,362.9
2/12/2015,362
2/19/2015,378
2/26/2015,383.6
3/5/2015,362.7
3/12/2015,363.1
3/19/2015,349.8
3/26/2015,347.9
4/2/2015,351.3
4/9/2015,332.1
4/16/2015,330.4
4/23/2015,334.6
4/30/2015,334.9
5/7/2015,325.4
5/14/2015,313.7
5/21/2015,317.1
5/28/2015,317.8
6/4/2015,316.2
6/11/2015,328.4
6/18/2015,341.6
6/25/2015,351.7
7/2/2015,370.9
7/9/2015,374.1
7/16/2015,383.6
7/23/2015,381.5
7/30/2015,383.1
8/6/2015,373.6
8/13/2015,354.9
8/20/2015,354.4
8/27/2015,345.9
9/3/2015,338
9/10/2015,332
9/17/2015,334.2
9/24/2015,325.9
10/1/2015,325.1
10/8/2015,330.3
10/15/2015,335
10/22/2015,326.8
10/29/2015,318.1
11/5/2015,315.4
11/12/2015,309.4
11/19/2015,303.6
11/26/2015,302.8
12/3/2015,303.4
12/10/2015,288.3
12/17/2015,289.4
12/24/2015,282.5
12/31/2015,276.8
1/7/2016,276.4
1/14/2016,283.2
1/21/2016,281.2
1/28/2016,275.9
2/4/2016,276.6
2/11/2016,272.7
2/18/2016,272.5
2/25/2016,270.5
3/3/2016,271.4
3/17/2016,272
3/24/2016,281.8
3/31/2016,276.8
4/7/2016,273.3
4/14/2016,297.1
4/21/2016,331.75
4/28/2016,337.1
5/5/2016,343.3
5/12/2016,370.9
5/19/2016,384.6
5/26/2016,416.1
6/2/2016,424.8
6/9/2016,420
6/16/2016,404.2
6/23/2016,387.7
6/30/2016,413.3
7/7/2016,373.7
7/14/2016,379.7
7/21/2016,359
7/28/2016,359
8/4/2016,348.5
8/11/2016,335.5
8/18/2016,341.4
8/25/2016,347.4
9/1/2016,337.3
9/8/2016,325.6
9/15/2016,349.6
9/22/2016,344.1
9/29/2016,336.9
10/6/2016,325.9
10/13/2016,321.1
10/20/2016,322.8
10/27/2016,316.1
11/3/2016,339.1
11/10/2016,315.4
11/17/2016,320.4
11/24/2016,320
12/1/2016,324.9
12/8/2016,317.4
12/15/2016,318.2
12/22/2016,321
12/29/2016,317.8
1/5/2017,322.7
1/12/2017,327.4
1/19/2017,347.2
1/26/2017,330.8
2/2/2017,330.8
2/9/2017,335.4
2/16/2017,339
2/23/2017,328.3
3/2/2017,330.8
3/9/2017,324.5
3/16/2017,325.3
3/23/2017,315.2
3/30/2017,305.9
4/6/2017,302.2
4/13/2017,310
4/20/2017,302.4
4/27/2017,310.3
5/4/2017,315.1
5/11/2017,310.4
5/18/2017,303
5/25/2017,301.2
6/1/2017,293.5
6/8/2017,307.6
6/15/2017,302.1
6/22/2017,295.8
6/29/2017,296.4
7/6/2017,322
7/13/2017,319.4
7/20/2017,322.8
7/27/2017,309.8
8/3/2017,309.8
8/10/2017,297.1
8/17/2017,298.6
8/24/2017,295.8
8/31/2017,306.1
9/7/2017,304.7
9/14/2017,310
9/21/2017,311.5
9/28/2017,312.5
10/5/2017,317.9
10/12/2017,323.3
10/19/2017,317.9
10/26/2017,308.6
11/2/2017,313.9
11/9/2017,307.8
11/16/2017,307
11/23/2017,320.9
11/30/2017,321
12/7/2017,330.2
12/14/2017,317.1
12/21/2017,309.7
12/28/2017,309.3
1/4/2018,322.7
1/11/2018,327.4
1/18/2018,347.2
1/25/2018,341.4
2/1/2018,330.8
2/8/2018,329.5
2/15/2018,378.2
2/22/2018,380.4
3/1/2018,397.7
3/8/2018,386.4
3/15/2018,375
3/22/2018,372.5
3/29/2018,387.5
4/5/2018,386.6
4/12/2018,391.4
4/19/2018,378.3
4/26/2018,386.7
5/3/2018,408.1
5/10/2018,395.3
5/17/2018,385.6
5/24/2018,387.8
5/31/2018,377.8
6/7/2018,367.9
6/14/2018,352.7
6/21/2018,341.3
6/28/2018,341.9
7/5/2018,337.9
7/12/2018,341.9
7/19/2018,339.3
7/26/2018,342.6
8/2/2018,343.3
8/9/2018,342.6
8/16/2018,344.6
8/23/2018,322.7
8/30/2018,309.9
9/6/2018,321.4
9/13/2018,321.4
9/20/2018,321.9
9/27/2018,318.3
10/4/2018,318.2
10/11/2018,322.8
10/18/2018,321.8
10/25/2018,307.3
11/1/2018,316.4
11/8/2018,309.1
11/15/2018,308.4
11/22/2018,309.1
11/29/2018,311.4
12/6/2018,314.2
12/13/2018,310.5
12/20/2018,309.7
12/27/2018,308.8
1/3/2019,315.3
1/10/2019,317.8
1/17/2019,313.7
1/24/2019,333.9
1/31/2019,329.5
2/7/2019,304
2/14/2019,378.2
2/21/2019,380.4
2/28/2019,397.7
3/7/2019,303.3
3/14/2019,308.9
3/21/2019,313.3
3/28/2019,305
4/4/2019,310.4
4/11/2019,305.7
4/18/2019,301.7
4/25/2019,303.5
5/2/2019,292.4
5/9/2019,286.1
5/16/2019,298.9
5/23/2019,293.7
5/30/2019,326.4
6/6/2019,317.4
6/13/2019,330.7
6/20/2019,332
6/27/2019,321.2
7/4/2019,308.8
7/11/2019,315.4
7/18/2019,311
7/25/2019,307.9
8/1/2019,297.6
8/8/2019,299.8
8/15/2019,294.8
8/22/2019,295.7
8/29/2019,295
9/5/2019,293.2
9/12/2019,300.1
9/19/2019,294.7
9/26/2019,293.3
10/3/2019,308.9
10/10/2019,313.8
10/17/2019,312.8
10/24/2019,306.6
10/31/2019,305.9
11/7/2019,307.1
11/14/2019,304.6
11/21/2019,303
11/27/2019,295.8
11/28/2019,295.8
12/5/2019,302.5
12/12/2019,295.2
12/19/2019,299.4
12/25/2019,300.5
12/26/2019,300.5
1/2/2020,304.6
1/9/2020,317.8
1/16/2020,313.7
1/23/2020,311.3
1/30/2020,309
2/6/2020,304
2/13/2020,306
2/20/2020,306.4
2/27/2020,305.1
3/2/2020,303.3
3/5/2020,303.3
3/12/2020,308.9
3/19/2020,313.3
3/26/2020,324.4
4/2/2020,310.6
4/9/2020,294
4/16/2020,295.6
4/23/2020,292.1
4/30/2020,296.6
5/7/2020,289.6
5/14/2020,289.7
5/21/2020,283.85
5/28/2020,285.8
6/4/2020,291.3
6/11/2020,291.2
6/18/2020,290.3
6/25/2020,288.5
7/2/2020,296.7
7/9/2020,297.8
7/16/2020,287.5
7/23/2020,290.9
7/30/2020,292
8/6/2020,282.2
8/13/2020,291.6
8/20/2020,292.8
8/27/2020,295.7
9/3/2020,305.6
9/10/2020,310.7
9/17/2020,328.4
9/24/2020,329.5
10/1/2020,346.9
10/8/2020,358.6
10/15/2020,371.1
10/22/2020,381.4
10/29/2020,375.9
11/5/2020,385.8
11/12/2020,386.1
11/19/2020,391.7
11/26/2020,394.9
12/3/2020,375.2
12/10/2020,375.2
12/16/2020,395.4
12/17/2020,395.4
12/23/2020,418.7
12/24/2020,418.7
12/31/2020,431.9
1/7/2021,429.7
1/14/2021,462.25
1/21/2021,436.7
1/28/2021,425.6
2/4/2021,431.6
2/11/2021,427.4
2/18/2021,434.4
2/22/2021,434.4
2/25/2021,422.6
3/4/2021,420.7
3/11/2021,417.1
3/18/2021,406.6
3/25/2021,398.3
4/1/2021,398.7
4/8/2021,407.4
4/15/2021,396
4/22/2021,415.9
4/29/2021,434.15
5/6/2021,428
5/13/2021,451
5/20/2021,414.8
5/27/2021,390.3
6/3/2021,402.7
6/10/2021,391.3
6/17/2021,373.9
6/24/2021,365.3
7/1/2021,353.4
7/8/2021,362.1
7/15/2021,362.5
