Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"753,314,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,005,619,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CANOLA,"CANOLA - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"602,504,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CHICKPEAS,"CHICKPEAS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"83,210,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"61,039,005,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,COTTON,"COTTON - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,677,566,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FLAXSEED,"FLAXSEED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"56,487,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"19,652,802,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HOPS,"HOPS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"619,424,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,LENTILS,"LENTILS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"129,220,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILLET,"MILLET, PROSO - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"91,120,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MINT,"MINT, PEPPERMINT, OIL - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"94,360,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSTARD,"MUSTARD - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"22,161,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,"OATS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"186,241,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,275,009,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEAS,"PEAS, DRY EDIBLE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"196,705,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RAPESEED,"RAPESEED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,497,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,"RICE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,069,000,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,"RYE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"59,816,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SAFFLOWER,"SAFFLOWER - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"31,470,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,719,805,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"46,068,982,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"587,848,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,TOBACCO,"TOBACCO - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"819,102,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"9,324,496,000",
SURVEY,2020,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"209,824,000",
SURVEY,2020,YEAR,,STATE,ALABAMA,1,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"218,550,000",
SURVEY,2020,YEAR,,STATE,ALABAMA,1,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"129,311,000",
SURVEY,2020,YEAR,,STATE,ALABAMA,1,,,,,,,0,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"121,770,000",
SURVEY,2020,YEAR,,STATE,ALABAMA,1,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"26,208,000",
SURVEY,2020,YEAR,,STATE,ALASKA,2,,,,,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,097,000",
SURVEY,2020,YEAR,,STATE,ALASKA,2,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"8,760,000",
SURVEY,2020,YEAR,,STATE,ARIZONA,4,,,,,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,343,000",
SURVEY,2020,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"29,290,000",
SURVEY,2020,YEAR,,STATE,ARIZONA,4,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"444,300,000",
SURVEY,2020,YEAR,,STATE,ARIZONA,4,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"32,566,000",
SURVEY,2020,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"439,714,000",
SURVEY,2020,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"289,956,000",
SURVEY,2020,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,OATS,"OATS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"960,000",
SURVEY,2020,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"35,386,000",
SURVEY,2020,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,RICE,"RICE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,297,284,000",
SURVEY,2020,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,542,900,000",
SURVEY,2020,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"22,894,000",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"6,484,000",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"45,245,000",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHICKPEAS,"CHICKPEAS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"50,490,000",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,007,260,000",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,OATS,"OATS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"900,000",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"846,909,000",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,SAFFLOWER,"SAFFLOWER - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"12,210,000",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"13,946,000",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"48,123,000",
SURVEY,2020,YEAR,,STATE,COLORADO,8,,,,,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"31,646,000",
SURVEY,2020,YEAR,,STATE,COLORADO,8,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"31,322,000",
SURVEY,2020,YEAR,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"577,912,000",
SURVEY,2020,YEAR,,STATE,COLORADO,8,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"695,164,000",
SURVEY,2020,YEAR,,STATE,COLORADO,8,,,,,,,0,,MILLET,"MILLET, PROSO - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"48,097,000",
SURVEY,2020,YEAR,,STATE,COLORADO,8,,,,,,,0,,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"21,420,000",
SURVEY,2020,YEAR,,STATE,COLORADO,8,,,,,,,0,,SUNFLOWER,"SUNFLOWER - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"9,900,000",
SURVEY,2020,YEAR,,STATE,COLORADO,8,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"190,836,000",
SURVEY,2020,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"15,160,000",
SURVEY,2020,YEAR,,STATE,DELAWARE,10,,,,,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,906,000",
SURVEY,2020,YEAR,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"121,088,000",
SURVEY,2020,YEAR,,STATE,DELAWARE,10,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"5,292,000",
SURVEY,2020,YEAR,,STATE,DELAWARE,10,,,,,,,0,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"63,455,000",
SURVEY,2020,YEAR,,STATE,DELAWARE,10,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"22,283,000",
SURVEY,2020,YEAR,,STATE,FLORIDA,12,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"39,144,000",
SURVEY,2020,YEAR,,STATE,FLORIDA,12,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"123,480,000",
SURVEY,2020,YEAR,,STATE,FLORIDA,12,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"113,883,000",
SURVEY,2020,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"301,860,000",
SURVEY,2020,YEAR,,STATE,GEORGIA,13,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"164,160,000",
SURVEY,2020,YEAR,,STATE,GEORGIA,13,,,,,,,0,,OATS,"OATS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,698,000",
SURVEY,2020,YEAR,,STATE,GEORGIA,13,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"656,000,000",
SURVEY,2020,YEAR,,STATE,GEORGIA,13,,,,,,,0,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"40,508,000",
SURVEY,2020,YEAR,,STATE,GEORGIA,13,,,,,,,0,,TOBACCO,"TOBACCO - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"39,130,000",
SURVEY,2020,YEAR,,STATE,GEORGIA,13,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"24,310,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"269,500,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"50,944,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,CHICKPEAS,"CHICKPEAS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"17,368,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"121,589,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"930,936,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,HOPS,"HOPS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"99,703,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,LENTILS,"LENTILS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,717,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,MINT,"MINT, PEPPERMINT, OIL - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"34,650,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,OATS,"OATS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,499,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,PEAS,"PEAS, DRY EDIBLE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"11,560,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,SAFFLOWER,"SAFFLOWER - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,431,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"582,419,000",
SURVEY,2020,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"9,270,720,000",
SURVEY,2020,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"247,007,000",
SURVEY,2020,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,OATS,"OATS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,219,000",
SURVEY,2020,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,015,100,000",
SURVEY,2020,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"190,944,000",
SURVEY,2020,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,368,788,000",
SURVEY,2020,YEAR,,STATE,INDIANA,18,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"230,580,000",
SURVEY,2020,YEAR,,STATE,INDIANA,18,,,,,,,0,,MINT,"MINT, PEPPERMINT, OIL - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),
SURVEY,2020,YEAR,,STATE,INDIANA,18,,,,,,,0,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,755,616,000",
SURVEY,2020,YEAR,,STATE,INDIANA,18,,,,,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"92,750,000",
SURVEY,2020,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"9,873,660,000",
SURVEY,2020,YEAR,,STATE,IOWA,19,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"457,036,000",
SURVEY,2020,YEAR,,STATE,IOWA,19,,,,,,,0,,OATS,"OATS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"17,936,000",
SURVEY,2020,YEAR,,STATE,IOWA,19,,,,,,,0,,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"5,482,956,000",
SURVEY,2020,YEAR,,STATE,KANSAS,20,,,,,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"872,000",
SURVEY,2020,YEAR,,STATE,KANSAS,20,,,,,,,0,,CANOLA,"CANOLA - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"655,000",
SURVEY,2020,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,295,864,000",
SURVEY,2020,YEAR,,STATE,KANSAS,20,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"680,654,000",
SURVEY,2020,YEAR,,STATE,KANSAS,20,,,,,,,0,,OATS,"OATS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,454,000",
SURVEY,2020,YEAR,,STATE,KANSAS,20,,,,,,,0,,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,146,208,000",
